moroni 0 -0,299007194162815 1 0
escort 1860 -1,04380224474883 5 1
saw 1861 -9,7385069266141 25 10
pull 1862 -10,9871422599476 3 1
fort-de-france 1863 -0,497125170704501 1 0
catch 1864 -1,91491467287527 28 8
taxi 1865 21,1781971218894 12 8
500 1866 1,67267863325434 9 2
antilles 1867 0,473924509190919 1 0
lied 1868 -5,83844389866034 10 0
step 1869 -11,6306445312829 5 4
cover 1870 -8,76729676214386 9 1
responsible 1871 -20,0312635922019 14 2
point-à-pitre 1872 0,0737780218821849 1 0
saint 1873 8,66049705816456 1 3
martin 1874 -0,757081543354821 2 0
respect 1875 3,40849310127482 10 7
rudest 1876 -1,38261739373329 4 0
encountered 1877 0,4806373674798 19 9
unwilling 1878 -17,8563783667313 8 0
discovering 1879 -1,3992022387214 1 0
funeral 1880 3,21024151733622 2 1
attend 1881 -6,01415193505313 6 0
zone 1882 -0,0577107618365953 7 5
bottles 1883 -0,926705321868279 2 1
vending 1884 -0,875134087808027 1 0
machine 1885 0,2338816498564 4 1
nearing 1886 0,116110415950469 1 0
sometimes 1887 19,7401785496344 9 7
unavoidable 1888 2,14434573405625 1 1
rudeness 1889 -3,46623363181308 3 0
complete 1890 -9,78635153113229 32 5
white 1891 5,78759593031723 3 6
dealing 1892 0,181854761523127 19 4
eating 1893 4,82042331244816 3 5
lunch 1894 8,72757744254897 7 17
giving 1895 -24,4937341207609 30 7
earned 1896 -3,88825219217141 4 0
bamako 1897 -2,18803198299745 2 0
21:15 1898 -2,14403657798843 1 0
21:30 1899 -1,6022005950111 3 0
22:30 1900 -0,496688716251724 1 0
fed 1901 -2,92528258074321 4 2
23:00 1902 -2,06305366915793 2 0
00:00 1903 -2,12249825928477 2 0
shuttles 1904 -5,14925110710284 4 0
yelled 1905 -6,91743167509205 5 0
shuttle 1906 -0,0231633516602048 9 4
2:30 1907 -1,4039721156489 4 1
dropped 1908 11,239384322399 6 3
horrid 1909 -0,758319450802319 1 0
shared 1910 -3,047238948451 4 1
noon 1911 -4,37181198022878 3 0
algerie 1912 -52,1521587008853 4 0
who'd 1913 -2,01519167973436 1 0
17:00 1914 -0,524323578143643 1 0
ready 1915 3,3703496813636 12 8
23:40 1916 -1,68079603066705 1 0
mad 1917 10,2395633495131 5 4
unorganized 1918 -9,22199121104646 7 0
rush 1919 -2,04879630634039 4 1
pushed 1920 -1,93791365168892 7 3
shoved 1921 -1,26749968094169 2 0
door 1922 8,82957894649803 21 10
00:30 1923 -2,27221025045598 2 0
standing 1924 -3,24429300611107 7 3
handed 1925 26,9451079110359 5 7
previous 1926 -39,2131186219459 23 7
fairly 1927 22,4533550998444 7 10
8:00 1928 -0,767080379914064 1 0
filthy 1929 -58,6633486355484 6 0
bathroom 1930 -8,50325492709095 7 9
report 1931 -12,4945855940201 15 3
they'd 1932 -4,57532614691897 6 0
taken 1933 10,2458226082594 31 21
3:00 1934 -1,80251355078188 1 0
reporting 1935 1,2355240399649 2 2
12:30 1936 -10,8510983538121 6 0
montreal 1937 77,864788612055 28 47
whom 1938 -5,97745435185612 5 6
tuesday 1939 2,24229751575845 7 5
1240 1940 -0,14295501934502 1 0
1830 1941 -1,47991749820296 1 0
toronto 1942 39,6007947055627 95 145
160 1943 1,00266517144752 1 2
cordoba-buenos 1944 -0,51899466995103 1 0
rosario 1945 -0,414539461496537 1 0
“ 1946 -36,1602467858979 45 8
” 1947 -33,6029540773029 43 10
laps 1948 1,14474684290809 1 1
a330 1949 47,9572283810737 4 30
eze-jfk-eze 1950 -1,71293776077821 1 0
9 1951 9,87218480104217 34 10
tall 1952 -21,4660411817329 9 12
prefer 1953 -12,4952404415213 5 4
+ 1954 -28,9642873948274 28 11
eze-jfk 1955 -2,02918906213212 1 0
jfk-eze 1956 -0,654861376739508 1 0
45mins 1957 -2,19084343956357 1 0
courteous 1958 74,0217958480221 4 39
willing 1959 -0,794358566633592 21 5
greatest 1960 -1,60431354339435 2 0
walk 1961 5,12348194486624 7 8
aft 1962 0,663108268735515 1 1
galley 1963 -1,59726809258446 5 8
female 1964 14,0449355850671 6 3
chicken 1965 12,5473467066639 6 26
pasta 1966 -7,19648595847957 5 5
sauce 1967 2,30201966986154 3 6
sir 1968 -0,91267815428445 2 0
chef 1969 -3,65984763151959 2 0
cooked 1970 -0,178552164499905 2 3
meals 1971 50,5544172810178 37 70
cdg 1972 2,5170175121245 4 16
explanations 1973 -26,4642889652235 2 0
mechanical 1974 -17,9058415403151 17 3
including 1975 20,9420041803001 24 28
re-booking 1976 -0,968293777046862 1 0
figure 1977 14,0269138823389 10 2
evenings 1978 -0,85321558199507 1 0
renting 1979 -1,22975353567384 1 0
driving 1980 3,70535379690367 1 1
dxb-alg 1981 -12,410164660872 1 0
bathrooms 1982 -4,49139211261244 2 8
crews 1983 17,475692210568 2 25
appealing 1984 -49,9504107853632 3 0
london 1985 54,6245613745528 76 103
heathrow 1986 16,2714556815901 29 42
767 1987 -25,3800861867052 2 13
alg-mrs 1988 -1,78989062276198 1 0
1hr 1989 -0,773324488649762 3 4
10mins 1990 -2,90961466972233 1 0
jan 1991 -0,860254783118262 3 3
syd-eze 1992 -2,1570073104729 1 0
dramas 1993 0,516904284812931 1 1
ordinary 1994 -0,753389024293697 2 1
tiny 1995 1,43356315052768 9 4
central 1996 -5,6430258339937 6 0
color 1997 -0,60193783962258 2 1
hear 1998 -1,34227025417717 16 4
audio 1999 -1,06634118289982 3 2
headphones 2000 5,58194646420048 7 6
15.5 2001 2,13773416412889 1 1
eze-fte 2002 -1,59027547449352 1 0
aep 2003 0,304594392471292 2 3
luckily 2004 -9,86422030379261 15 1
early 2005 9,7326458671748 28 65
30min 2006 -5,74483292118871 5 0
fte-eze 2007 -0,601752314857092 1 0
storms 2008 -1,48939901892533 2 0
1630 2009 -2,20629084944087 1 0
eze-syd 2010 -2,56089532233816 2 0
16 2011 23,6182253265373 14 8
initially 2012 -10,4376280080702 19 4
heavy 2013 -16,8484519737998 8 4
rain 2014 -2,19971231436344 2 0
fresh 2015 32,4058514244416 3 31
curfew 2016 -2,28512610494398 1 0
sydney 2017 -45,012584347144 19 13
kept 2018 3,05314203265735 49 33
wi-fi 2019 17,1203750554101 5 6
60's 2020 -10,0241090837047 1 0
outside 2021 3,78359999874774 13 10
blanket 2022 -19,3080900709648 10 7
smelt 2023 -9,83935379527479 2 0
spending 2024 18,9497673466568 14 4
dollars 2025 -11,4182975467845 25 5
competent 2026 -9,08857631449987 2 2
modern 2027 26,9001135834493 3 37
brazil 2028 1,08910044352016 2 2
son 2029 12,0605957919548 16 10
husband 2030 -25,1149707411951 47 16
recently 2031 40,0336446794838 12 35
facility 2032 -1,43081612872463 2 1
pre-allocated 2033 -1,68687441250629 2 0
a340 2034 -0,011699913447583 1 1
2-4-2 2035 1,16761961191316 1 1
aisle 2036 28,3801114126482 8 12
appeared 2037 -47,1959871219918 15 3
recognized 2038 4,23991218504492 1 3
families 2039 -6,68305584787533 13 3
cant 2040 2,36939341657301 8 9
incredibly 2041 13,6732079338623 17 11
auckland 2042 -19,0906871111555 15 6
santiago 2043 6,61640033396725 3 7
hadn't 2044 6,68757089180293 14 2
paper 2045 -13,7278398204259 23 2
5am 2046 -2,62262697174336 4 0
immigration 2047 32,1914449091961 30 26
meet 2048 10,2166167258362 9 5
lan 2049 -3,05923998530919 2 0
chile 2050 -7,18131089204983 4 1
excellent 2051 403,069563917801 7 346
13th 2052 0,444920203715991 2 3
akl 2053 -2,76264506073792 2 0
6am 2054 -14,7422324672538 9 1
8.30am 2055 3,99834648333413 1 2
bit 2056 49,945824674678 10 50
bound 2057 2,24907821647314 6 4
syd 2058 -3,84517271874713 4 1
access 2059 13,0540774292564 15 18
weather 2060 41,6212225363223 43 34
pattern 2061 -1,44494605462297 2 0
rid 2062 -10,6908528775865 5 1
lighter 2063 -7,54999470657203 2 0
learnt 2064 0,108679537106622 1 1
freight/cargo 2065 -2,294539386404 1 0
consequently 2066 2,3490411319067 3 3
spots 2067 -0,450753486785457 1 0
employees 2068 -11,4367519947871 30 5
spanish 2069 -14,8673321125411 21 4
language 2070 -1,17426005079144 10 6
ideas 2071 -0,589139675856167 1 0
thrown 2072 -1,15249583034427 3 0
evidently 2073 -3,26380229828125 3 0
days/weeks 2074 -0,949018610012261 1 0
1-2 2075 -0,0973166808007828 2 1
reasons 2076 -3,12571326262584 13 3
cold 2077 -29,5244904734774 20 6
recline 2078 -0,926924439718446 16 18
personal 2079 1,77760669173561 29 24
ife 2080 44,90433021025 8 40
watch 2081 12,4199795615952 8 15
movie 2082 -26,7165037741961 11 14
english 2083 -67,8516606291531 63 37
measly 2084 -3,25809363637031 2 0
effects 2085 -1,48452831557231 1 0
24hrs 2086 -1,21127611729842 4 1
1000 2087 -11,3681712721326 11 0
spend 2088 -6,14464224625595 41 6
trays 2089 -10,6100465100305 3 0
flickering 2090 -1,37820434154859 1 0
headset 2091 -5,16896725533016 2 0
hardly 2092 -7,45081388319415 3 0
diet 2093 -1,5141651503342 2 0
coke 2094 -19,4042779684552 5 0
soft 2095 30,2143398794878 3 15
on-time 2096 8,36406058793145 2 11
friday 2097 6,45930787853864 11 4
eventually 2098 -17,5922795473562 28 2
shortages 2099 -1,21788985888375 1 0
rumours 2100 -2,17688073030528 1 0
basic 2101 -1,27187348644802 19 5
10pm 2102 -4,87180380382193 6 0
tonight 2103 -1,31605156991447 3 0
beware 2104 -6,98498002541483 10 1
aep-ush 2105 -4,99217120725297 1 0
e-ticket 2106 -6,87794636282043 5 0
matter 2107 -10,7912776991684 16 6
4-5 2108 -3,01362648350821 1 1
depending 2109 9,85508459352659 1 4
chose 2110 -3,87594040305165 17 12
elderly 2111 9,07031411401476 6 3
md88 2112 -5,223997454077 1 0
apu 2113 -3,7227793970717 1 0
hence 2114 -0,0502522922354994 3 2
stifling 2115 -3,89875753340253 1 0
room 2116 42,4715579907743 70 68
appalling 2117 -24,0391934733089 11 0
snack 2118 31,1080994722005 16 45
undrinkable 2119 -3,90679224417861 1 0
cap 2120 -4,28326333169046 1 0
4/5 2121 -0,782787826928677 1 0
stick 2122 -3,10611135675856 4 1
real 2123 -1,02670550263799 17 12
themselves 2124 -0,789127566846613 19 6
igr 2125 -1,90529286847696 1 0
showing 2126 0,261674123891478 14 4
ar 2127 -3,9383307291839 3 0
unable 2128 -10,2595247381178 25 2
chaos 2129 -15,9633582481012 15 1
sight 2130 -1,56137718081538 2 0
ride 2131 4,51497905404073 10 5
beu 2132 -0,532210771149122 1 0
volcano 2133 -4,20903466279108 1 0
police 2134 -11,0455127865754 10 0
28 2135 -14,2237972182333 7 4
internet 2136 9,29178323130672 10 7
ring 2137 -12,1004520209974 2 1
cut 2138 -24,5666800777273 11 3
boy 2139 -13,7659226749865 4 0
nz 2140 0,493417989133587 2 10
sorry 2141 -35,2199990708008 34 2
understaffed 2142 -17,1545449346558 3 1
polite 2143 67,2002744148952 6 76
zealand 2144 23,2658943251548 3 12
listen 2145 -10,4485184406622 13 2
complaints 2146 1,05503019874684 19 16
queries 2147 -0,0280344458893103 2 0
fix 2148 -7,96391294005509 15 0
solve 2149 8,59447990916412 8 2
present 2150 7,64278220014776 11 7
aerolíneas 2151 -0,896746420067151 1 0
aukland 2152 0,251208762475852 1 0
industrial 2153 2,01451291586948 1 1
dispute 2154 -1,63462661212991 6 0
engineering 2155 -1,19409291529753 1 0
saved 2156 7,13423796418786 4 6
ferried 2157 -1,9450982877729 2 0
3am 2158 -3,32692402988995 6 0
awake 2159 -1,87968709435299 3 0
kids 2160 36,5461553066253 21 28
captain 2161 44,4603850577773 10 31
greece 2162 7,46824714325752 12 17
cuba 2163 6,84973168859711 2 5
war 2164 -0,983538425333583 1 0
russia 2165 -4,99091939152727 12 3
russian 2166 18,7025250058633 15 17
territory 2167 -1,01496280618709 1 0
children 2168 2,52273333287925 22 17
mandated 2169 0,473544706950684 1 1
rt 2170 -0,690540593345901 2 0
mauritius 2171 37,1720097375903 4 13
india 2172 4,12748664316139 6 5
attained 2173 -0,225978539756489 1 0
mentioned 2174 -4,50021021990115 16 4
rtpcr 2175 -1,36326472729597 2 0
required 2176 -0,22824315453332 21 7
age 2177 13,0936154562019 6 8
inform 2178 -17,9925997190143 21 4
mandatory 2179 -6,14060937652393 3 0
documents 2180 -12,3603232221959 19 0
shown 2181 5,58970863385578 6 6
him 2182 30,9255825968113 45 22
fully 2183 5,24599569693487 15 18
vaccinated 2184 -2,70614012191358 3 0
certificate 2185 1,43536928544537 5 2
reunion 2186 -5,93622987532813 8 0
chennai 2187 -5,84672372129128 6 0
third 2188 -10,2744081803013 21 8
aeroflot 2189 101,748581806593 101 98
forget 2190 10,0419653003765 6 6
madagascar 2191 3,53688141924184 1 3
island 2192 63,1264730653849 2 7
9.15 2193 -0,386992665979542 1 0
acces 2194 -0,712077227612993 1 0
insistence 2195 -0,366966433854292 1 0
afected 2196 -0,788245604600872 1 0
travelers 2197 -1,80427627754597 14 7
spoken 2198 -1,61618818497108 2 1
grateful 2199 32,8568138001286 7 13
alternative 2200 -23,7510433511581 23 5
confused 2201 -1,03000702635851 5 2
austral 2202 -7,05076783092263 4 1
dint 2203 -3,53745755908892 1 0
burger 2204 -2,81497966289286 1 1
responding 2205 -4,32922717683447 5 0
shambolic 2206 -0,424233009584357 1 0
3hours 2207 -0,822812702238007 1 0
letter 2208 -16,3852771905648 20 0
offish 2209 -5,37136194592871 2 0
babies 2210 -8,46584988742408 7 1
herded 2211 -0,159377420488455 2 0
cattle 2212 -3,15249883995973 3 0
embarking 2213 -0,386314686148574 1 1
tarmac 2214 -8,01936413292744 13 1
loaded 2215 4,45644626298754 4 4
purser 2216 15,334802472887 1 10
shrugged 2217 -2,27774860583141 2 0
freezing 2218 -7,14412845323986 6 0
salad 2219 8,28109243376231 4 12
entree 2220 3,64531050913283 1 4
baby 2221 3,14924842317088 24 13
croissant 2222 7,05944532643047 2 5
products 2223 11,9741531683943 2 4
contacted 2224 -31,4684209048601 51 2
eu 2225 -1,32742195447321 15 6
law 2226 -2,05446298655796 10 1
261/2004 2227 0,214479230164773 1 0
laid 2228 -4,01390139409988 3 1
legislation 2229 -1,93324376816547 2 0
17 2230 0,424980877304906 9 7
ignoring 2231 -3,82396694255246 8 1
party 2232 0,20980344000729 9 3
attorney 2233 -0,149412778555142 1 0
ransom 2234 -0,689566283155962 1 0
doing 2235 22,4696842929207 35 13
favour 2236 -4,05952379897215 7 2
glare 2237 -0,236960346268937 1 0
questioned 2238 -5,03902482047632 6 0
contractually 2239 0,323087020648218 1 0
summoned 2240 -1,04039773328248 1 0
lawyer 2241 -0,0134170821930362 1 0
deplane 2242 12,4385534826846 4 3
plan 2243 13,6969540576902 12 4
boeing 2244 34,4144305794101 2 32
787 2245 28,0013429712045 1 22
777 2246 20,2893804469562 1 10
mayotte 2247 -0,0872131812792332 1 0
truthful 2248 -0,667628641830584 1 0
supposedly 2249 -4,16852349060053 7 1
3star 2250 -1,30176867726341 1 0
comfortable 2251 345,289508139151 15 271
delhi-sharjah-amman 2252 -2,16014792116366 1 0
delhi 2253 11,0027196777997 11 13
sharjah 2254 -64,1884980858716 63 3
arabia 2255 -69,4002923927271 75 6
employee 2256 -7,28945232596688 32 8
vouchers 2257 -6,92492083391404 41 9
bassinet 2258 -12,7690372756072 21 2
smile 2259 34,1124428071605 6 33
pressed 2260 -33,6747646432718 3 0
button 2261 -16,5387124915788 6 3
20 2262 14,3910888438537 54 37
2020 2263 -13,5520333940871 39 6
weekly 2264 -0,596342730846416 1 0
contacts 2265 -0,341882895697785 3 0
denmark 2266 -0,869180853045164 2 0
suggesting 2267 16,2969142112867 1 2
e-voucher 2268 -0,79674843428505 4 0
2021 2269 -9,98904810547319 17 5
logically 2270 -1,18403006768042 2 0
countries 2271 -3,52823745055508 7 2
announces 2272 -1,23872383005858 1 0
border 2273 2,53278466022237 5 2
closure 2274 -0,878509970045886 4 2
borders 2275 -7,34127258748807 6 0
learned 2276 -4,18930499841892 11 1
= 2277 -2,63750865675393 4 1
operator 2278 4,75972300919691 4 5
prices 2279 36,8302375440161 17 20
rising 2280 -0,91680210787654 1 0
quickly 2281 45,1327508816648 5 29
realistic 2282 -2,81789216823778 2 0
closures 2283 -5,14537799737667 2 0
restrictions 2284 -7,23147517434856 10 0
transiting 2285 -3,46452218949074 4 0
moscow 2286 45,0361816893966 149 82
testing 2287 -0,0929160932511632 1 0
transit 2288 -27,0609160352782 48 12
tho 2289 -2,18927493202001 3 0
turkey 2290 2,25913619420451 1 1
tagged 2291 11,8653971541512 5 4
issued 2292 -17,1679235281273 36 4
agree 2293 -0,751467070333411 1 0
doha 2294 -11,6021490006718 9 1
afterwards 2295 -1,50168550992463 3 2
ramadan 2296 -2,30450573084154 1 0
played 2297 5,69058655937695 1 5
muslim 2298 3,3932966112128 1 2
love 2299 3,65631299678065 7 11
song 2300 -0,829476633216011 1 0
forever 2301 -4,70753387906939 5 0
computerised 2302 -1,09046478871743 1 0
switch 2303 -10,0785808105388 15 0
irresponsible 2304 -18,6844936419672 11 0
careless 2305 -1,67353129972403 4 1
handling 2306 -17,3717734384219 15 8
belongings 2307 -4,19293258883661 7 0
stroller 2308 -0,818770526497984 2 1
equivalent 2309 -0,647224646037083 1 1
carry-on 2310 -11,9109866149775 15 5
easyjet 2311 15,848056651162 1 5
europa 2312 22,9153566873704 1 17
arabia's 2313 -2,79927410734784 3 0
suggest 2314 -13,4707557927681 11 2
bring 2315 6,09248572527081 9 8
ridiculously 2316 -5,02082017879971 5 1
low-cost 2317 -3,26353351341725 7 1
traveled 2318 19,2794421766323 19 16
green 2319 -0,731820609901017 3 1
tag 2320 -4,67806396371595 16 3
indicating 2321 -1,17626478065563 5 0
cheated 2322 -1,84217041206647 2 0
anybody 2323 -0,307473512695857 6 2
pandora 2324 -0,748184143215504 1 0
armenia 2325 -0,149427044507781 1 0
uae 2326 -4,3603142055498 7 0
trusted 2327 -3,88725679548795 4 0
perhaps 2328 3,33493351486276 4 4
2023 2329 3,12317556223049 2 2
warned 2330 -5,73676685217617 5 0
useless 2331 -8,47989155183541 18 4
could've 2332 -1,63080521730278 2 0
separate 2333 6,30341010480347 16 7
dubai 2334 30,4597140550426 4 8
unhappy 2335 1,39073175033123 3 3
jobs 2336 1,72321502218173 3 1
reflecting 2337 -0,939311464987375 1 0
covid-19 2338 -16,0608847815827 27 4
subscribe 2339 -0,857943819490235 1 0
news 2340 0,1072510581963 2 1
send 2341 -6,07088653089986 40 5
messages 2342 -4,97414563678864 10 2
center 2343 -33,2136914756678 35 4
lady 2344 -13,2782886746704 47 13
what’s 2345 -2,28892027367322 2 0
sand 2346 -0,249959357385505 1 0
nd 2347 -0,568649200242315 1 0
afternoon 2348 -3,18071152939494 11 3
800 2349 -2,69463448752399 6 4
fighting 2350 -4,08086542947258 4 0
shouldn’t 2351 -7,44097235749521 4 0
energy 2352 -0,68885541012923 1 0
june 2353 44,1251178320614 22 21
airline’s 2354 -2,86562322129757 4 0
representatives 2355 13,0467883217832 12 1
live 2356 7,23463666859764 12 7
reissuing 2357 -1,58299127304134 1 0
transfer 2358 -4,43039660920873 53 22
convenient 2359 22,0649339926266 6 14
rome 2360 47,5867835599868 23 30
tokyo 2361 -12,4845166131316 22 7
intending 2362 0,172133996138412 1 0
continued 2363 -5,6419461289616 9 1
quoting 2364 -0,61045789369869 2 0
effect 2365 3,36890502328468 6 5
explain 2366 4,87886169561132 16 2
previously 2367 -3,68805373482781 5 1
couldn’t 2368 -31,7589881549398 33 3
feedback 2369 -5,56148738961736 6 0
section 2370 12,4692708386897 6 9
connect 2371 -4,28150873169373 11 5
keep 2372 14,6973513113788 38 35
resolution 2373 -2,46261432574252 5 1
struggles 2374 -0,53907167852813 1 0
moment 2375 -3,30717748795039 13 12
australian 2376 0,597880823350456 1 1
living 2377 9,77152075663745 6 3
outrageous 2378 -2,82918508836496 3 0
copy 2379 -1,95926390679519 3 1
paste 2380 -1,79946770053332 1 0
templates 2381 -1,39166495464354 1 0
reputation 2382 -1,30654528993487 1 0
exploiting 2383 -0,170432104901612 1 0
’ 2384 -13,7959593063202 10 2
cash 2385 -8,19579465710362 14 0
indefinite 2386 -1,09103602696724 1 0
refunding 2387 -4,35592241755497 7 0
corona 2388 1,56903319795105 4 3
refunded 2389 -15,8870747480481 32 3
sydney-reunion-mauritius 2390 -14,6439050642978 1 0
glasses 2391 -12,093793949156 3 3
plainly 2392 -15,2089151493315 1 0
sub 2393 -20,0258185193994 4 0
standard 2394 7,25527343561653 16 32
peckish 2395 -14,6082327190825 1 0
abruptly 2396 -16,1430206894609 1 0
rear 2397 -14,632199750716 5 2
platter 2398 -14,1032333211988 1 1
soggy 2399 -15,6471936681528 1 0
cheese 2400 -34,367782359695 5 14
butter 2401 -17,8619059548536 5 3
pour 2402 -14,7096617143646 1 1
your-own-glass 2403 -14,8192243811764 1 0
pane 2404 -16,0639053247235 1 0
view 2405 3,20064333202347 4 10
pretended 2406 -15,2383235511548 1 0
blasé 2407 -15,4262413257855 1 0
pompous 2408 -15,0358113939109 1 0
hurry 2409 -7,05844586000705 4 0
should've 2410 -1,65109269677247 2 0
jeddah 2411 -3,93688409400027 3 0
handbag 2412 -0,653806227889753 5 2
force 2413 -9,97113279927109 9 0
split 2414 -0,835598659997619 2 0
8th 2415 14,7784480199117 1 3
seafarers 2416 -12,5779713589595 4 0
su2578 2417 -3,95743394813381 1 0
valid 2418 -17,145987214542 24 0
c1d 2419 -5,61466344819156 2 0
visas 2420 -9,14005913750271 5 0
registration 2421 -12,4652162250901 8 0
sheremetevo 2422 -0,957086883605033 1 1
competency 2423 -4,47191322211731 2 0
refusing 2424 -7,01758258012942 6 0
exemption 2425 -3,63693564726828 1 0
government 2426 -13,3725939295593 12 0
behaved 2427 -6,67683080103101 4 0
nerves 2428 -5,01788770622475 3 0
solved 2429 0,669160825977642 2 3
finished 2430 -2,16415700710572 10 5
his 2431 4,43008042803504 45 30
bangkok 2432 42,0747543639386 35 18
emailing 2433 -4,58199166459124 7 0
manually 2434 -0,0914820462891284 2 0
processed 2435 -3,93756205860412 9 1
ghosting 2436 0,417996552594936 1 0
tired 2437 -19,487321415398 14 4
offering 2438 -7,5065271139641 24 13
5-10 2439 -1,89660239843493 2 0
frame 2440 -11,2574713637389 6 2
special 2441 42,63520570562 22 31
flash 2442 4,4798888690676 2 1
stating 2443 -10,8725212177134 12 0
that’s 2444 -3,03598189928382 7 1
€ 2445 -13,3070209941394 24 3
drain 2446 -2,03998756629414 3 0
validity 2447 -2,73778232770869 3 0
shameful 2448 -4,39021962396345 5 0
future 2449 8,57682564071232 28 24
vilnius 2450 0,0697386562683333 1 0
january 2451 5,91441351348274 16 13
nightmare 2452 30,9137878721178 32 7
damaged 2453 -27,9885701784811 22 1
nonetheless 2454 3,49286563326272 2 5
rushing 2455 2,09743420812182 2 2
urgent 2456 -3,3048188536916 4 0
women 2457 2,06225170593814 2 2
break 2458 -2,10164170120919 6 5
15min 2459 0,673030502848807 1 1
sign 2460 -9,32676313925849 14 1
lithuania 2461 -2,16149263985525 2 0
6th 2462 -5,20835355697589 8 4
embassy 2463 2,29502803343117 4 1
100 2464 -13,8942890019129 27 11
traveling 2465 -14,081173258918 47 19
1st 2466 -3,21163783507032 8 6
officially 2467 -0,571814645254898 2 0
takes 2468 -2,47965062781221 8 2
poorly 2469 -10,1980367846778 17 2
mannered 2470 -0,639548771101771 2 1
epidemic 2471 -3,49065008363251 4 0
mistakenly 2472 1,04909311367622 1 1
awkward 2473 3,9506154848964 2 1
voice 2474 -8,55719228114802 9 0
tells 2475 -5,27526416511986 11 0
imagine 2476 -9,64510497047804 12 0
explaining 2477 -7,58456591176082 11 0
link 2478 12,064068863431 5 3
morocco 2479 -9,51056183632955 13 0
cheers 2480 -4,89694814504913 2 0
ons 2481 0,0651885426906815 1 0
marrakesh 2482 -2,38661119345883 4 0
fez 2483 -8,19471325156964 6 0
reasoning 2484 -1,00057786903371 2 0
claimed 2485 -10,6785705742326 20 0
untrue 2486 0,0162929358968014 1 0
ample 2487 7,06332358874535 1 8
bins 2488 -13,4748573634191 7 4
arrangement 2489 -14,8889164287545 5 5
honored 2490 -1,73274320640263 2 0
randomly 2491 -3,14425516079378 5 0
assigned 2492 15,1143207850001 9 7
contrary 2493 16,0204427586964 3 2
seated 2494 -9,66983952888746 19 9
train 2495 -1,29597862255572 10 2
upgraded 2496 2,14355859651396 14 7
su 2497 1,18486080583411 2 2
bonus 2498 21,5217680449699 3 16
timeframe 2499 1,44519120168183 2 1
upgrade 2500 -28,8953834541121 46 15
strict 2501 3,13182713260494 2 3
rules 2502 10,8418684804076 14 8
liable 2503 -0,59218294955426 2 0
binding 2504 -0,183625743157987 1 0
regards 2505 1,56038872499968 5 2
co 2506 -1,2346796761894 1 0
suffering 2507 0,863171983399974 2 1
headache 2508 -1,43137764401332 2 0
enquired 2509 -0,531870355099379 1 0
tablet 2510 0,242539022137662 3 4
survive 2511 -3,22025306859065 3 0
fight 2512 -13,2018172200778 8 1
disappointing 2513 -28,5910804162226 11 0
consider 2514 -13,430021620323 19 4
emergency 2515 1,30804849239441 18 15
medical 2516 0,225118538702428 9 4
checkin 2517 6,48635976164898 9 3
selected 2518 -14,3043943746967 9 2
obtaining 2519 -5,61571847834425 2 0
consent 2520 -10,3974661247793 5 0
cleaning 2521 -2,37496129119534 2 3
diaper 2522 -4,89695753217533 1 1
currency 2523 -8,79073452986345 4 0
location 2524 4,83470663481145 5 1
costly 2525 -16,1952938740585 4 0
abu 2526 -12,0049707553838 10 3
dhabi 2527 -11,2713495749847 10 3
reuse 2528 -1,87954520228298 2 0
stopped 2529 -2,26121359898765 17 5
re 2530 7,88117745145279 7 4
grab 2531 -0,429965636241234 1 0
tangier 2532 -7,30633361698423 1 0
health 2533 -7,5811226243531 7 2
arm 2534 -9,4151788262721 5 2
re-schedule 2535 7,37122493692265 5 1
damage 2536 -5,37667984234946 8 3
1,200 2537 -7,59442831543015 2 0
eur 2538 -8,61108753225351 4 1
raised 2539 -7,26096664916769 5 2
acknowledge 2540 -5,94389083098801 4 2
pdfs 2541 -6,34687914436072 1 0
supplement 2542 -6,5052990056599 2 0
26th 2543 -6,04298692040284 9 4
25th 2544 0,168544791996733 2 2
emailed 2545 -10,7124903345073 21 1
kathmandu 2546 -4,3424381701939 7 0
schedule 2547 12,7054007243856 18 36
blunder 2548 0,5504639334746 1 0
authorization 2549 -1,87788787078014 3 0
n 2550 -1,32109714337676 2 0
stupid 2551 -0,842801127882116 4 1
replied 2552 -11,6107452381918 15 0
careful 2553 -2,66251393564163 6 1
suffer 2554 -0,557342843412116 2 0
satisfaction 2555 0,279578251335574 1 1
male 2556 -6,57121553787553 10 4
limited 2557 -21,3673975857754 13 14
supply 2558 -5,82688957542502 3 0
forgotten 2559 -0,688332103047675 2 2
rationing 2560 -2,03464073717345 1 0
became 2561 -2,86333027852854 12 4
incur 2562 -2,95728288435251 3 0
passenger's 2563 -5,7701641582745 4 1
expense 2564 -6,81304779761147 12 0
impatient 2565 -3,72749542208738 3 1
fluently 2566 -3,31391954697385 1 0
french 2567 0,779305514543925 5 10
atrocious 2568 -13,0759015139546 10 0
solid 2569 -10,8012464231352 6 1
updates 2570 -9,41527189026366 12 8
thete 2571 -2,68045328742846 1 0
personally 2572 10,8974472462188 6 12
qatar 2573 -2,44342764208253 2 0
appreciate 2574 70,0281734061559 4 18
priorities 2575 -1,9505869640273 1 0
eight 2576 -1,66966238686334 5 1
six 2577 1,74602938226705 9 5
deadline 2578 -1,75927919967066 2 0
، 2579 0,247196726429833 1 0
mother's 2580 -0,352855547402452 2 0
condition 2581 -23,9103714827496 10 16
sudan 2582 -0,721813357957552 1 0
